date,store,product,units,price
2026-09-01,Pearl St,coffee,44,3.50
2026-09-01,Pearl St,bagel,27,2.75
2026-09-01,Pearl St,tea,14,3.00
2026-09-01,University Hill,coffee,45,3.50
2026-09-01,University Hill,bagel,30,2.75
2026-09-01,University Hill,tea,14,3.00
2026-09-02,Pearl St,coffee,42,3.50
2026-09-02,Pearl St,bagel,28,2.75
2026-09-02,Pearl St,tea,9,3.00
2026-09-02,University Hill,coffee,36,3.50
2026-09-02,University Hill,bagel,25,2.75
2026-09-02,University Hill,tea,15,3.00
2026-09-03,Pearl St,coffee,40,3.50
2026-09-03,Pearl St,bagel,30,2.75
2026-09-03,Pearl St,tea,15,3.00
2026-09-03,University Hill,coffee,44,3.50
2026-09-03,University Hill,bagel,25,2.75
2026-09-03,University Hill,tea,11,3.00
2026-09-04,Pearl St,coffee,37,3.50
2026-09-04,Pearl St,bagel,22,2.75
2026-09-04,Pearl St,tea,10,3.00
2026-09-04,University Hill,coffee,41,3.50
2026-09-04,University Hill,bagel,25,2.75
2026-09-04,University Hill,tea,13,3.00
2026-09-05,Pearl St,coffee,53,3.50
2026-09-05,Pearl St,bagel,35,2.75
2026-09-05,Pearl St,tea,21,3.00
2026-09-05,University Hill,coffee,48,3.50
2026-09-05,University Hill,bagel,28,2.75
2026-09-05,University Hill,tea,19,3.00
2026-09-06,Pearl St,coffee,58,3.50
2026-09-06,Pearl St,bagel,26,2.75
2026-09-06,Pearl St,tea,13,3.00
2026-09-06,University Hill,coffee,55,3.50
2026-09-06,University Hill,bagel,36,2.75
2026-09-06,University Hill,tea,25,3.00
2026-09-07,Pearl St,coffee,34,3.50
2026-09-07,Pearl St,bagel,22,2.75
2026-09-07,Pearl St,tea,19,3.00
2026-09-07,University Hill,coffee,45,3.50
2026-09-07,University Hill,bagel,21,2.75
2026-09-07,University Hill,tea,18,3.00
2026-09-08,Pearl St,coffee,40,3.50
2026-09-08,Pearl St,bagel,21,2.75
2026-09-08,Pearl St,tea,19,3.00
2026-09-08,University Hill,coffee,42,3.50
2026-09-08,University Hill,bagel,25,2.75
2026-09-08,University Hill,tea,18,3.00
2026-09-09,Pearl St,coffee,45,3.50
2026-09-09,Pearl St,bagel,20,2.75
2026-09-09,Pearl St,tea,13,3.00
2026-09-09,University Hill,coffee,39,3.50
2026-09-09,University Hill,bagel,22,2.75
2026-09-09,University Hill,tea,10,3.00
2026-09-10,Pearl St,coffee,44,3.50
2026-09-10,Pearl St,bagel,26,2.75
2026-09-10,Pearl St,tea,14,3.00
2026-09-10,University Hill,coffee,38,3.50
2026-09-10,University Hill,bagel,30,2.75
2026-09-10,University Hill,tea,10,3.00
2026-09-11,Pearl St,coffee,46,3.50
2026-09-11,Pearl St,bagel,28,2.75
2026-09-11,Pearl St,tea,15,3.00
2026-09-11,University Hill,coffee,41,3.50
2026-09-11,University Hill,bagel,26,2.75
2026-09-11,University Hill,tea,18,3.00
2026-09-12,Pearl St,coffee,58,3.50
2026-09-12,Pearl St,bagel,35,2.75
2026-09-12,Pearl St,tea,20,3.00
2026-09-12,University Hill,coffee,54,3.50
2026-09-12,University Hill,bagel,29,2.75
2026-09-12,University Hill,tea,16,3.00
2026-09-13,Pearl St,coffee,54,3.50
2026-09-13,Pearl St,bagel,28,2.75
2026-09-13,Pearl St,tea,21,3.00
2026-09-13,University Hill,coffee,56,3.50
2026-09-13,University Hill,bagel,33,2.75
2026-09-13,University Hill,tea,22,3.00
2026-09-14,Pearl St,coffee,44,3.50
2026-09-14,Pearl St,bagel,22,2.75
2026-09-14,Pearl St,tea,20,3.00
2026-09-14,University Hill,coffee,38,3.50
2026-09-14,University Hill,bagel,23,2.75
2026-09-14,University Hill,tea,10,3.00
